;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1201;MolecularWeightFilter, RuleOfFourFilter;7645059794.8176;13013475676.156;170.22071802469839
1107;HaoFilter, PAINSFilter;2470658158678.38;4207154887344.431;170.2847831281908
1308;RuleOfTwoFilter, ZINCBasicFilter;2708711842058.863;4648301165324.101;171.60559839362523
1130;InpharmaticaFilter, RuleOfThreeFilter;3192335125554.29;5654341436995.408;177.12242651885228
1082;GSKFilter, MolecularWeightFilter;1671585315576.9336;2961909306121.481;177.1916323097875
1258;PAINSFilter, RuleOfFourFilter;7645059794.8176;13816355343.882;180.72265900716508
911;BeyondRo5Filter, RuleOfFourFilter;7645059794.8176;13816355343.882;180.72265900716508
1090;GSKFilter, RuleOfTwoFilter;3700165127909.3394;6716349501159.084;181.51485863426706
1160;LipinskiFilter, MolecularWeightFilter;1523124635642.172;2778736019508.4497;182.43654882102888
1069;GlaxoFilter, RuleOfVeberFilter;1223392477331.7295;2314832590960.7217;189.21422469504384
1289;RuleOfFourFilter, RuleOfVeberFilter;7207379924.3057;13816355343.882;191.69733646603927
1209;MolecularWeightFilter, ValenceDiscoveryFilter;1232971626992.53;2378880675627.373;192.93880114905397
1196;MolecularWeightFilter, NIHFilter;1479407891691.474;2856034516798.756;193.05254033310058
1179;MLSMRFilter, NIBRFilter;2895187203691.808;5602825290384.49;193.52203834142497
938;BMSFilter, PfizerFilter;1978163276184.3003;3845975411941.0815;194.4215352819421
1303;RuleOfTwoFilter, RuleOfVeberFilter;3511874912742.0693;7281516956156.258;207.33987220720383
1297;RuleOfThreeFilter, SureChEMBLFilter;2609770737027.6377;5519845077252.739;211.50689594824294
1294;RuleOfThreeFilter, RuleOfTwoFilter;1892170875027.856;4050283366622.872;214.0548414562847
1337;ZINCBasicFilter, ZINCDruglikeFilter;1445083343391.2786;3115809051257.4897;215.6144879467922
1108;HaoFilter, PfizerFilter;1915910515356.2073;4380823774845.9126;228.65492619478775
1111;HaoFilter, RuleOfTwoFilter;3977057295169.6025;9251181728204.08;232.6137403009066
1110;HaoFilter, RuleOfThreeFilter;2480470212605.177;5811798612187.999;234.3022940833468
1164;LipinskiFilter, PAINSFilter;1642124213633.2266;4035481286677.4126;245.74762695623642
1269;PfizerFilter, REOSFilter;820990913214.2585;2020581622731.2395;246.11498010623137
1131;InpharmaticaFilter, RuleOfTwoFilter;1247511431462.5625;3081174849407.0293;246.98570062758535
1305;RuleOfTwoFilter, SureChEMBLFilter;2445959210092.011;6089798914480.571;248.97385407549325
1083;GSKFilter, NIBRFilter;2112468749546.8552;5611358217753.731;265.63035400913844
1180;MLSMRFilter, NIHFilter;1446719188933.2942;4005442539483.9766;276.8638565191977
969;BrenkFilter, RuleOfTwoFilter;1243534642387.1338;3658652110587.232;294.21392745150644
1202;MolecularWeightFilter, RuleOfThreeFilter;3137076405492.96;9233936496218.18;294.3484729938275
1112;HaoFilter, RuleOfVeberFilter;2041567140840.4285;6045376551656.428;296.1145107952608
1307;RuleOfTwoFilter, TiceInsecticidesFilter;484575576592.3895;1617691500518.5105;333.83677978456274
1067;GlaxoFilter, RuleOfThreeFilter;2700535670807.745;9141718677320.275;338.515013007991
1203;MolecularWeightFilter, RuleOfTwoFilter;1987227528698.1775;6996348761093.976;352.065813303082
1293;RuleOfFourFilter, ZINCDruglikeFilter;0.464;2.1383;460.8375184719972
1167;LipinskiFilter, RuleOfFourFilter;0.464;2.1383;460.8375184719972
899;BeyondRo5Filter, HaoFilter;1119413337241.895;6175935172382.584;551.7117732042905
1232;NIHFilter, RuleOfFourFilter;0.1954;2.2066;1129.5458466465625
1291;RuleOfFourFilter, SureChEMBLFilter;0.1954;2.2066;1129.5458466465625
940;BMSFilter, RuleOfFourFilter;0.1954;2.2066;1129.5458466465625
1217;NIBRFilter, RuleOfFourFilter;0.1954;2.2066;1129.5458466465625
1290;RuleOfFourFilter, RuleOfXuFilter;0.1954;2.2066;1129.5458466465625
1044;GhoseFilter, RuleOfTwoFilter;9401209230.0447;249831739004.0836;2657.4426001036527
