;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
215;"InpharmaticaFilter;MLSMRFilter";79.796;-24.1455;69.741
271;"MLSMRFilter;PAINSFilter";79.796;-24.2305;69.6344
148;"GhoseFilter;ValenceDiscoveryFilter";79.796;-24.235;69.6288
181;"GSKFilter;OpreaFilter";79.796;-24.2752;69.5784
330;"OpreaFilter;SureChEMBLFilter";79.796;-24.311;69.5335
82;"FAF4DruglikeFilter;GhoseFilter";79.796;-24.3334;69.5055
277;"MLSMRFilter;SureChEMBLFilter";79.796;-24.3781;69.4494
150;"GhoseFilter;ZINCDruglikeFilter";79.796;-24.4005;69.4214
117;"FAF4LeadlikeFilter;OpreaFilter";79.796;-24.7181;69.0233
122;"FAF4LeadlikeFilter;RuleOfXuFilter";79.796;-25.0447;68.614
139;"GhoseFilter;OpreaFilter";79.796;-25.0582;68.5972
57;"BrenkFilter;GhoseFilter";79.796;-25.179;68.4458
175;"GSKFilter;LINTFilter";79.796;-25.3311;68.2552
130;"GhoseFilter;GSKFilter";79.796;-25.34;68.244
87;"FAF4DruglikeFilter;LINTFilter";79.796;-25.4563;68.0982
189;"GSKFilter;TiceInsecticidesFilter";79.796;-25.4698;68.0814
237;"LINTFilter;OpreaFilter";79.796;-26.1901;67.1787
97;"FAF4DruglikeFilter;RuleOfFourFilter";79.796;-26.1901;67.1787
369;"RuleOfFourFilter;ValenceDiscoveryFilter";79.796;-26.1901;67.1787
147;"GhoseFilter;TiceInsecticidesFilter";79.796;-26.2616;67.089
140;"GhoseFilter;PAINSFilter";79.796;-26.8969;66.2929
196;"HaoFilter;MLSMRFilter";79.796;-27.143;65.9845
182;"GSKFilter;PAINSFilter";79.796;-27.2369;65.8668
178;"GSKFilter;MolecularWeightFilter";79.796;-27.2772;65.8163
33;"BMSFilter;GSKFilter";79.796;-27.2772;65.8163
180;"GSKFilter;NIHFilter";79.796;-27.2772;65.8163
6;"BeyondRo5Filter;GSKFilter";79.796;-27.2772;65.8163
185;"GSKFilter;RuleOfVeberFilter";79.796;-27.2772;65.8163
191;"GSKFilter;ZINCBasicFilter";79.796;-27.2772;65.8163
176;"GSKFilter;LipinskiFilter";79.796;-27.2772;65.8163
138;"GhoseFilter;NIHFilter";79.796;-27.3175;65.7659
149;"GhoseFilter;ZINCBasicFilter";79.796;-27.3175;65.7659
31;"BMSFilter;GhoseFilter";79.796;-27.3175;65.7659
143;"GhoseFilter;RuleOfVeberFilter";79.796;-27.3175;65.7659
4;"BeyondRo5Filter;GhoseFilter";79.796;-27.3175;65.7659
134;"GhoseFilter;LipinskiFilter";79.796;-27.3175;65.7659
136;"GhoseFilter;MolecularWeightFilter";79.796;-27.3175;65.7659
137;"GhoseFilter;NIBRFilter";79.796;-27.5188;65.5136
179;"GSKFilter;NIBRFilter";79.796;-27.662;65.3342
129;"GhoseFilter;GlaxoFilter";79.796;-27.6977;65.2893
151;"GlaxoFilter;GSKFilter";79.796;-28.0288;64.8744
276;"MLSMRFilter;RuleOfXuFilter";79.796;-28.1138;64.7679
177;"GSKFilter;MLSMRFilter";79.796;-28.503;64.2801
135;"GhoseFilter;MLSMRFilter";79.796;-28.9952;63.6634
59;"BrenkFilter;GSKFilter";79.796;-29.456;63.0859
145;"GhoseFilter;SureChEMBLFilter";79.796;-29.9705;62.4411
187;"GSKFilter;SureChEMBLFilter";79.796;-29.9839;62.4243
274;"MLSMRFilter;RuleOfFourFilter";79.796;-31.0755;61.0563
186;"GSKFilter;RuleOfXuFilter";79.796;-31.1918;60.9105
144;"GhoseFilter;RuleOfXuFilter";79.796;-31.3842;60.6694
