Dataset,Model,Filter type,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,GaussianNB,REOSFilter,ROC-AUC,0.45791355608707207,0.5166531039293187,112.82764990496969,-0.508195768,0.6666666666666666,-1.079872436,0.48284313725490197,-0.853156483,0.5392156862745098,0.5055446836268754,-0.73350973,0.6,0.47898349931247136,None
bace,GaussianNB,RuleOfFourFilter,ROC-AUC,0.45791355608707207,0.6333333333333333,138.30849183528107,-0.955555556,0.5416666666666666,-1.079872436,0.48284313725490197,-0.823584837,0.5465686274509803,0.5105820105820106,-0.337414304,0.7615825091098386,0.4959322033898305,None
bace,GaussianNB,RuleOfThreeFilter,ROC-AUC,0.45791355608707207,0.5,109.19091460680086,-0.05952381,0.9438202247191011,-1.079872436,0.48284313725490197,-0.863013699,0.5367647058823529,0.5,-0.384882711,0.7220828105395232,0.5,None
bace,GaussianNB,RuleOfTwoFilter,ROC-AUC,0.45791355608707207,0.5,109.19091460680086,-0.133333333,0.8823529411764706,-1.079872436,0.48284313725490197,-0.863013699,0.5367647058823529,0.5,-0.327254228,0.7545454545454545,0.49964589235127477,None
bace,GaussianNB,RuleOfVeberFilter,ROC-AUC,0.45791355608707207,0.48424908424908425,105.75120081332653,-0.616466074,0.6464088397790055,-1.079872436,0.48284313725490197,-0.971443067,0.5098039215686274,0.47597303761687326,-3.453607127,0.2183406113537118,0.4807692307692308,None
bace,GaussianNB,RuleOfXuFilter,ROC-AUC,0.45791355608707207,0.5228448275862069,114.17980984314606,-0.647413793,0.6020408163265306,-1.079872436,0.48284313725490197,-0.872870914,0.5343137254901961,0.5024280640718997,-0.91769098,0.6,0.45382106863019966,None
bace,GaussianNB,SureChEMBLFilter,ROC-AUC,0.45791355608707207,0.468367889,102.28303643656731,-1.095906433,0.47619047619047616,-1.079872436,0.48284313725490197,-1.030586359,0.4950980392156863,0.4633616003479017,-0.847222222,0.6336088154269972,0.45454545454545453,None
bace,GaussianNB,TiceHerbicidesFilter,ROC-AUC,0.45791355608707207,0.49476061427280943,108.04672796774133,-0.685817525,0.6036866359447005,-1.079872436,0.48284313725490197,-0.941871421,0.5171568627450981,0.4828223526853664,-0.778672655,0.6489028213166145,0.4472707459813477,None
bace,GaussianNB,TiceInsecticidesFilter,ROC-AUC,0.45791355608707207,0.5029753265602321,109.84067186353217,-0.32670537,0.7617328519855595,-1.079872436,0.48284313725490197,-0.872870914,0.5343137254901961,0.4984416902225121,-1.024803607,0.4969604863221885,0.46080509459396646,None
bace,GaussianNB,ValenceDiscoveryFilter,ROC-AUC,0.45791355608707207,0.4835164835164835,105.59121412525796,-1.281135531,0.43617021276595747,-1.079872436,0.48284313725490197,-0.90244256,0.5269607843137255,0.493404363,-0.786645388,0.7024567788898999,0.4673119755001392,None
bace,GaussianNB,ZINCBasicFilter,ROC-AUC,0.45791355608707207,0.47703595011005134,104.17598338568146,-0.806603081,0.5736842105263158,-1.079872436,0.48284313725490197,-0.991157498,0.5049019607843137,0.4743060085525839,-2.049583151,0.2805755395683453,0.36430451952610793,None
bace,GaussianNB,ZINCDruglikeFilter,ROC-AUC,0.45791355608707207,0.49533462033462033,108.1720804614993,-0.58510296,0.6467065868263473,-1.079872436,0.48284313725490197,-0.922156991,0.5220588235294118,0.4877509603537001,-1.409535596,0.4027027027027027,0.44345238095238093,None
