;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
47;"BMSFilter;REOSFilter";91.032;-13.7367;84.9101
387;"PfizerFilter;SureChEMBLFilter";91.032;-13.7604;84.884
232;"InpharmaticaFilter;LipinskiFilter";91.032;-13.8078;84.8319
159;"GhoseFilter;TiceInsecticidesFilter";91.032;-13.8316;84.8058
451;"ValenceDiscoveryFilter;ZINCBasicFilter";91.032;-13.8316;84.8058
321;"MolecularWeightFilter;TiceHerbicidesFilter";91.032;-13.879;84.7537
286;"LipinskiFilter;TiceHerbicidesFilter";91.032;-13.879;84.7537
288;"LipinskiFilter;ValenceDiscoveryFilter";91.032;-13.9027;84.7277
440;"SureChEMBLFilter;TiceInsecticidesFilter";91.032;-13.9027;84.7277
329;"NIBRFilter;PfizerFilter";91.032;-13.9265;84.7016
278;"LipinskiFilter;PfizerFilter";91.032;-13.9265;84.7016
25;"BeyondRo5Filter;TiceHerbicidesFilter";91.032;-13.9265;84.7016
83;"BrenkFilter;TiceInsecticidesFilter";91.032;-14.0214;84.5973
7;"BeyondRo5Filter;HaoFilter";91.032;-14.0688;84.5452
152;"GhoseFilter;REOSFilter";91.032;-14.1163;84.4931
223;"HaoFilter;RuleOfVeberFilter";91.032;-14.2823;84.3107
211;"HaoFilter;LipinskiFilter";91.032;-14.2823;84.3107
213;"HaoFilter;MolecularWeightFilter";91.032;-14.2823;84.3107
244;"InpharmaticaFilter;RuleOfVeberFilter";91.032;-14.2823;84.3107
217;"HaoFilter;PAINSFilter";91.032;-14.4247;84.1543
381;"PAINSFilter;ValenceDiscoveryFilter";91.032;-14.4484;84.1282
157;"GhoseFilter;SureChEMBLFilter";91.032;-14.6619;83.8937
79;"BrenkFilter;RuleOfVeberFilter";91.032;-14.828;83.7112
215;"HaoFilter;NIHFilter";91.032;-15.0178;83.5027
36;"BMSFilter;HaoFilter";91.032;-15.0178;83.5027
305;"MLSMRFilter;TiceInsecticidesFilter";91.032;-15.1127;83.3985
84;"BrenkFilter;ValenceDiscoveryFilter";91.032;-15.1839;83.3203
430;"RuleOfVeberFilter;ValenceDiscoveryFilter";91.032;-15.3025;83.19
141;"GhoseFilter;HaoFilter";91.032;-15.4686;83.0076
233;"InpharmaticaFilter;MLSMRFilter";91.032;-15.5872;82.8772
444;"TiceHerbicidesFilter;TiceInsecticidesFilter";91.032;-15.5872;82.8772
72;"BrenkFilter;OpreaFilter";91.032;-15.777;82.6688
253;"LINTFilter;MLSMRFilter";91.032;-15.8244;82.6166
400;"REOSFilter;ValenceDiscoveryFilter";91.032;-15.8956;82.5384
229;"HaoFilter;ZINCBasicFilter";91.032;-15.9668;82.4603
67;"BrenkFilter;LipinskiFilter";91.032;-16.1329;82.2778
399;"REOSFilter;TiceInsecticidesFilter";91.032;-16.1329;82.2778
197;"GSKFilter;PfizerFilter";91.032;-16.1803;82.2257
386;"PfizerFilter;RuleOfXuFilter";91.032;-16.204;82.1996
168;"GlaxoFilter;MLSMRFilter";91.032;-16.3464;82.0433
293;"MLSMRFilter;NIHFilter";91.032;-16.3938;81.9911
40;"BMSFilter;MLSMRFilter";91.032;-16.3938;81.9911
295;"MLSMRFilter;PAINSFilter";91.032;-16.465;81.913
247;"InpharmaticaFilter;TiceHerbicidesFilter";91.032;-16.4887;81.8869
260;"LINTFilter;REOSFilter";91.032;-16.5599;81.8087
291;"MLSMRFilter;MolecularWeightFilter";91.032;-16.5599;81.8087
195;"GSKFilter;OpreaFilter";91.032;-16.6311;81.7305
339;"NIBRFilter;ValenceDiscoveryFilter";91.032;-16.6785;81.6784
301;"MLSMRFilter;RuleOfVeberFilter";91.032;-16.6785;81.6784
11;"BeyondRo5Filter;MLSMRFilter";91.032;-16.8683;81.4699
384;"PfizerFilter;REOSFilter";91.032;-16.8921;81.4438
142;"GhoseFilter;InpharmaticaFilter";91.032;-16.9158;81.4178
68;"BrenkFilter;MLSMRFilter";91.032;-16.9632;81.3657
35;"BMSFilter;GSKFilter";91.032;-17.0107;81.3135
194;"GSKFilter;NIHFilter";91.032;-17.0107;81.3135
385;"PfizerFilter;RuleOfVeberFilter";91.032;-17.3428;80.9487
272;"LipinskiFilter;MLSMRFilter";91.032;-17.3665;80.9226
428;"RuleOfVeberFilter;TiceHerbicidesFilter";91.032;-17.4614;80.8183
297;"MLSMRFilter;REOSFilter";91.032;-17.5326;80.7402
187;"GSKFilter;HaoFilter";91.032;-17.7461;80.5056
259;"LINTFilter;PfizerFilter";91.032;-17.7699;80.4795
269;"LINTFilter;ValenceDiscoveryFilter";91.032;-17.9122;80.3232
188;"GSKFilter;InpharmaticaFilter";91.032;-17.9834;80.245
337;"NIBRFilter;TiceHerbicidesFilter";91.032;-18.0071;80.2189
390;"PfizerFilter;ValenceDiscoveryFilter";91.032;-18.1257;80.0886
354;"NIHFilter;ValenceDiscoveryFilter";91.032;-18.1495;80.0625
56;"BMSFilter;ValenceDiscoveryFilter";91.032;-18.1495;80.0625
206;"GSKFilter;ValenceDiscoveryFilter";91.032;-18.1969;80.0104
240;"InpharmaticaFilter;REOSFilter";91.032;-18.4104;79.7759
149;"GhoseFilter;OpreaFilter";91.032;-18.5053;79.6716
